condition,variant,rate_t0,rate_t1,difference,ci_t0_lower,ci_t0_upper,ci_t1_lower,ci_t1_upper,chi2,p_value,effect_size_h,n_t0,n_t1
control,base,0.575,0.6,0.025000000000000022,0.42195068541991065,0.7149060744004962,0.44595893660346186,0.7365167431570808,0.0,1.0,0.05078964801364494,40,40
control,instruct,0.575,0.6,0.025000000000000022,0.42195068541991065,0.7149060744004962,0.44595893660346186,0.7365167431570808,0.0,1.0,0.05078964801364494,40,40
control,instruct_sft,0.625,0.55,-0.07499999999999996,0.47032439137301096,0.7577702083276673,0.39829091798932054,0.6929469218909508,0.20631850419084463,0.6496683537501796,-0.15251283398051885,40,40
control,rl_zero,0.875,0.825,-0.050000000000000044,0.738878801611489,0.945404997490546,0.6805000966821229,0.9125458625396408,0.09803921568627451,0.7541954619218816,-0.14047764225612536,40,40
control,think,0.6,0.575,-0.025000000000000022,0.44595893660346186,0.7365167431570808,0.42195068541991065,0.7149060744004962,0.0,1.0,-0.05078964801364494,40,40
control,think_sft,0.575,0.55,-0.02499999999999991,0.42195068541991065,0.7149060744004962,0.39829091798932054,0.6929469218909508,0.0,1.0,-0.050400851615125974,40,40
asch_history_5,base,0.55,0.6,0.04999999999999993,0.39829091798932054,0.6929469218909508,0.44595893660346186,0.7365167431570808,0.05115089514066496,0.8210725962611336,0.10119049962877091,40,40
asch_history_5,instruct,0.55,0.55,0.0,0.39829091798932054,0.6929469218909508,0.39829091798932054,0.6929469218909508,0.0,1.0,0.0,40,40
asch_history_5,instruct_sft,0.625,0.675,0.050000000000000044,0.47032439137301096,0.7577702083276673,0.5201774618987768,0.799154977682173,0.054945054945054944,0.8146716520893327,0.10489084850343167,40,40
asch_history_5,rl_zero,0.75,0.925,0.17500000000000004,0.5980603857923197,0.858128813609037,0.8013576647568946,0.9741639742254119,3.30654420206659,0.06900446128105271,0.4923865182165268,40,40
asch_history_5,think,0.55,0.6,0.04999999999999993,0.39829091798932054,0.6929469218909508,0.44595893660346186,0.7365167431570808,0.05115089514066496,0.8210725962611336,0.10119049962877091,40,40
asch_history_5,think_sft,0.525,0.55,0.025000000000000022,0.3749736210669248,0.670645298873211,0.39829091798932054,0.6929469218909508,0.0,1.0,0.05014656435578968,40,40
authoritative_bias,base,0.625,0.6,-0.025000000000000022,0.47032439137301096,0.7577702083276673,0.44595893660346186,0.7365167431570808,0.0,1.0,-0.051322334351747934,40,40
authoritative_bias,instruct,0.6,0.575,-0.025000000000000022,0.44595893660346186,0.7365167431570808,0.42195068541991065,0.7149060744004962,0.0,1.0,-0.05078964801364494,40,40
authoritative_bias,instruct_sft,0.6,0.675,0.07500000000000007,0.44595893660346186,0.7365167431570808,0.5201774618987768,0.799154977682173,0.21636240703177823,0.6418256702738976,0.1562131828551796,40,40
authoritative_bias,rl_zero,0.8,0.9,0.09999999999999998,0.652426936536005,0.895000102745623,0.7694822477247771,0.9604204713173936,0.8823529411764706,0.34755803674116914,0.28379410920832804,40,40
authoritative_bias,think,0.55,0.55,0.0,0.39829091798932054,0.6929469218909508,0.39829091798932054,0.6929469218909508,0.0,1.0,0.0,40,40
authoritative_bias,think_sft,0.5,0.5,0.0,0.35199526933465386,0.6480047306653461,0.35199526933465386,0.6480047306653461,0.0,1.0,0.0,40,40
